Start Time,End Time,AIC,p value,Significantly Rejected,branching_ratio,Timespan,baseline,num_basis,nb_kernels,reformat,Date
2017-01-02 16:20:00,2017-01-02 17:20:00,1030.0717135160082,0.6453599386995265,False,0.3282335514804329,0 days 01:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:00:00,2017-01-02 11:00:00,2059.038304962317,0.0963999955308044,False,0.6311617284375678,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:20:00,2017-01-02 11:20:00,2117.5350744613133,0.0211539325815902,True,0.5825470522585653,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:40:00,2017-01-02 11:40:00,2023.794920572664,0.0029351656866061,True,0.553155321100986,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:00:00,2017-01-02 12:00:00,1695.6159208541571,0.0098881497066451,True,0.1008479731061475,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:20:00,2017-01-02 12:20:00,1542.9143418387268,0.933836997048574,False,0.1032359317711026,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:40:00,2017-01-02 12:40:00,1504.539691015705,0.7096435192792659,False,0.1129752075048234,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:00:00,2017-01-02 13:00:00,1463.403069942779,0.5402353557993271,False,0.1314029271614979,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:20:00,2017-01-02 13:20:00,1351.854841092064,0.288523044231697,False,0.1399254357347741,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:40:00,2017-01-02 13:40:00,1318.829532675923,0.0523826164927709,False,0.1386734501466308,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:00:00,2017-01-02 14:00:00,1155.7810621092228,0.0033325537526027,True,0.1448457934558723,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:20:00,2017-01-02 14:20:00,1027.2830394056994,0.2738345545074595,False,0.3406916708802313,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:40:00,2017-01-02 14:40:00,1011.5763061396444,0.1739187641250341,False,0.0922487357788892,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:00:00,2017-01-02 15:00:00,1004.550962051002,0.113913575045639,False,0.0694147862033365,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:20:00,2017-01-02 15:20:00,1037.5931016120005,0.037444738055166,True,0.1471162240097895,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:40:00,2017-01-02 15:40:00,1270.2566741497862,0.0019002130866418,True,0.246214059914776,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:00:00,2017-01-02 16:00:00,1510.411622878844,0.001198342915687,True,0.1734057240975246,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:20:00,2017-01-02 16:20:00,1734.49993784883,0.0012635553139814,True,0.1754092177333902,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 14:40:00,2017-01-02 16:40:00,1771.1551340652145,0.0114148975422412,True,0.2022932634705693,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 15:00:00,2017-01-02 17:00:00,1961.610883197304,0.5099961590974578,False,0.2513740430214239,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 15:20:00,2017-01-02 17:20:00,2111.731724580185,0.9806229586264632,False,0.2295419257078577,0 days 02:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:00:00,2017-01-02 13:00:00,3528.259959155004,0.0296289120824045,True,0.5164273624236702,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:20:00,2017-01-02 13:20:00,3478.928445957697,0.0055704568177434,True,0.511750758676393,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:40:00,2017-01-02 13:40:00,3352.109144352496,0.0043092924097311,True,0.5359488850979288,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:00:00,2017-01-02 14:00:00,2860.590569329721,4.538127656875648e-05,True,0.1394162510113858,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:20:00,2017-01-02 14:20:00,2581.926289462396,0.0001005440695227,True,0.1049483042143901,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 10:40:00,2017-01-02 14:40:00,2522.293457742525,0.0025099431388362,True,0.1174600082504241,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:00:00,2017-01-02 15:00:00,2473.1804997455743,0.0011759921775232,True,0.1153541547098053,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:20:00,2017-01-02 15:20:00,2388.9230393148023,0.0284312587431033,True,0.130841437707111,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 11:40:00,2017-01-02 15:40:00,2584.783373931122,0.0398477393441456,True,0.1769640716103201,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:00:00,2017-01-02 16:00:00,2665.833135620295,0.0014204769029651,True,0.1678488123950483,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:20:00,2017-01-02 16:20:00,2782.826388073877,4.014842158589184e-07,True,0.1667501671972854,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 12:40:00,2017-01-02 16:40:00,2807.919916889664,2.2505505924438385e-06,True,0.2866063274864729,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:00:00,2017-01-02 17:00:00,2995.006049712468,2.91260572213877e-07,True,0.2871235805328782,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 13:20:00,2017-01-02 17:20:00,3187.9530796708186,6.301866770103558e-07,True,0.3166059607803249,0 days 04:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:00:00,2017-01-02 17:00:00,6527.285681052068,0.1437263128642281,False,0.6366755568316113,0 days 08:00:00,const,1,1,delete,2017-01-02
2017-01-02 09:20:00,2017-01-02 17:20:00,6670.613669412218,0.1405142775159116,False,0.6248870676317987,0 days 08:00:00,const,1,1,delete,2017-01-02
